
"MANUFACTURER_NM","MODEL_DS","SERIAL_NR","OFFICIAL_NAME","ASSET_TAG_NR","ACQUISITION_DT","CUSTODIAN_EMPLOYEE_ID","PROJECT_ID","ACTIVITY_ID","PO_ID","BLDG_RM_NR"
"Beckman Coulter","J25","JHY97J21","Centrifuge","6354621","01-SEP-97","068178","443241","001","6462864","978-4419"
"Mj Research","PTC225","TD006018","Engine-Tetrad","6492569","11-FEB-03","022846","864D2A","001","6703399","978-4440"
"Thermo Savant","SPD2010220","02L5201402A","Speed Vac System","6492668","07-JAN-03","345201","VGTLJK","001","6703449","978-4310"
"Kuhner","ISF-1-W","37001252","Incubator","6493993","03-FEB-03","345201","VGTLJK","001","6703082","978-4550"
"Appropriate Technical Resource Inc","AJ140","77500304AX3","Incubator-Shaker","6534665","14-APR-04","020092","LWPGFM","001","6712816","978-4413"
"Agilent Technologies","G1600A","DEO1602782","Capillary Electrophoresis","6542707","06-APR-04","345201","VGTLEQ","001","6710945","978-4308"
"Agilent Technologies","G1382A","DE31100870","Pump-Capillary","6543285","22-JUL-03","345201","VGTLJK","001","6707198","978-4418"
"Beckman Coulter","BIOMEK NXS8","9898860125","Lab Auto Workstation","6547955","06-AUG-04","068178","LBPREQ","001","6715282","978-4148"
"Appropriate Technical Resource Inc","AJ140","78270804AX3","Incubator-Shaker","6566963","12-OCT-04","020092","LWPGFM","001","6716623","978-4413"
"Beckman Coulter","Z2","AJ25138","Counter-Channelyzer","6583632","22-JUN-05","068178","626881","001","6800623","978-4440"
"Atr","AJ121","79650605BS2","Incubator-Shaker","6598308","24-OCT-05","345201","VGTLJK","001","6722264","978-4310"
"Beckman Coulter","AVANTIJE","JSE06F39","Centrifuge","6621297","21-AUG-06","345201","GTL3EK","001","6808971","978-4540"
"Agilent Technologies","G1315D","DE6255542","Detector","6639209","18-APR-07","345201","GTL3EK","001","6820036","978-4418"
"New Brunswick Scientific","BIOFLO310","700524506","Fentometer","6652260","03-AUG-07","031291","7450MF","001","6820715","978-3215"
"Dell","OPTIPLEX 755","3ZD5CF1","Computer-Desktop","6671384","01-JAN-08","022768","K36901","001","6836049","978-4110"
"Dell","DCCY","8BRF1G1","Computer-Desktop","6675085","17-APR-08","022768","SDECO1","001","6844966","978-4208"
"Dell","DCCY","7BRF1G1","Computer-Desktop","6675092","17-APR-08","066769","SDECO1","001","6844966","978-4201"
"Agilent Technologies","G3250AA","US61500782","Chromatograph","6676068","07-MAR-08","010961"," "," "," ","978-4308"
"Percival Scientific","AR41L2C8","110390108","Chamber-Growth","6676075","08-APR-08","020092"," "," "," ","978-4415"
"Beckman Coulter","DTX880","262501398","Detector","6676082","11-APR-08","068178"," "," "," ","978-4208"
"Jasco","J815150S","A024061168","Spectropolarimeter","6676099","25-MAY-08","009742"," "," "," ","978-4208"
"Shimadzu Precision Ins","UV2450","A108345152","Bench-Optical","6676105","11-APR-08","068178"," "," "," ","978-4208"
"Wyatt Tech","WPR05","151WPR","Plate-Reader","6676242","11-APR-08","068178"," "," "," ","978-4208"
"Horiba Jobin Yvon","FL321","1018B","Fluorometer","6676259","11-APR-08","009742"," "," "," ","978-4208"
"Dell","OPTIPLEX320","49LCMF1","Computer-Desktop","6676358","06-MAY-08","009742"," "," "," ","978-4208"
"Dell","OPTIPLEX 755","HSJH3H1","Computer-Desktop","6686586","12-AUG-08","066769","SESDE1","001","6854959","978-4201"
"Dell","OPTIPLEX 755","706YNG1","Computer-Desktop","6687675","26-JUN-08","022768","SESDE2","001","6851425","978-4201"
"Percival Scientific","CU41L4","110880308E","Chamber-Growth","6688764","17-JUN-08","020092"," "," "," ","978-4438"
"Percival Scientific","CU41L4","110880208E","Chamber-Growth","6688771","17-JUN-08","020092"," "," "," ","978-4415"
"Varian","380LC","LC0805S014","Detector","6688986","01-JUL-08","068178"," "," "," ","978-4208"
"Fluxion","BIOFLUX200","008001008","Bioflim Assay Sys","6688993","01-JUL-08","020092"," "," "," ","978-4418"
"Applied Bio","STEPONE PLUS","272000664","Cycler-Thermal","6689020","08-JUL-08","020092"," "," "," ","978-4416"
"Hewlett Packard","INTEL CORE 2-DUO","2UA150NLM","Computer-Desktop","6689051","09-JUL-08","009742"," "," "," ","978-4208"
"Bruker","MPA","2006533","Spectrometer","6689068","09-JUL-08","009742"," "," "," ","978-4208"
"Agilent Technologies","5975C","US80838854","Spectrometer","6689143","09-JUL-08","068178"," "," "," ","978-4310"
"Thermo Fisher","FA078A","S29T420869TT","Press","6689150","15-JUL-08","019247"," "," "," ","978-4534"
"Dell","OPTIPLEX","J1CH","Computer-Desktop","6689167","17-JUL-08","068178"," "," "," ","978-4220G"
"Sartorius","None","D02201236","Biostatb-Plus2L","6689211","24-JUL-08","068178"," "," "," ","978-4418"
"Coy Laboratory","AALC","AC08059","Chamber-Anaerobic","6689228","24-JUL-08","019247"," "," "," ","978-4534"
"Ge Healthcare","AKTAEXPLORER 100","1298835","Chromatograph","6690859","15-AUG-08","068178"," "," "," ","978-4310"
"Conviron","MTR30","070288","Chamber-Growth","6690873","30-APR-08","018736"," "," "," ","978-4001"
"Conviron","PRG15","070288","Chamber-Growth","6690880","30-APR-08","018736"," "," "," ","978-4001"
"Olympus","1X2ILL100","8F04015","Microscope","6690897","22-AUG-08","068178"," "," "," ","978-4543"
"Dell","PRECISION 390","70VHBF1","Computer-Desktop","6691153","22-AUG-08","014867"," "," "," ","978-4310"
"Bd Biosciences","None","P69500049","Facsaria Ii","6691207","29-SEP-08","345201"," "," "," ","978-4550"
"Technical In","DU897DC00#BV","X3537","Camera-Ccd","6691269","16-SEP-08","068178"," "," "," ","978-4532"
"Hewlett Packard","INTEL CORE 2-DUO","2UA8334W3","Computer-Desktop","6691276","18-JUN-09","345201"," "," "," ","978-4550"
"Dionex","R1101","121498","Detector","6691283","16-SEP-08","020092"," "," "," ","978-4440"
"Beckman Coulter","AVANTIJ20XP","JXP04E19","Centrifuge","6691351","22-SEP-08","068178","864DTB","001","6505078","978-4310"
"Hewlett Packard","DC7800","MXL8360B8V","Computer-Desktop","6691375","29-SEP-08","010961"," "," "," ","978-4306"
"Beckman Coulter","OPTIMAL90K","COLORK20","Centrifuge","6691474","05-NOV-08","068178"," "," "," ","978-4419"
"Sorvall Inst","RC6","2008A2178","Centrifuge","6691498","14-NOV-08","018736"," "," "," ","978-4001"
"Dell","OPTIPLEX960","1QRRJK1","Computer-Desktop","6692426","14-JUL-09","022768","LSWORK","001","6886071","978-4308"
"Agilent Technologies","G6520A","US83320286","Spectrometer","6693225","25-SEP-08","014867","443T92","001","6858950","978-4308"
"Dell","OPTIPLEX 755","CRM0NH1","Computer-Desktop","6695526","27-OCT-08","068178","SESDE1","001","6862711","978-4310"
"Dell","DCCY","64524J1","Computer-Desktop","6698947","08-FEB-09","022768","SESDE2","001","6871285","978-4410"
"Cds Analytical","5200","373103108","Pyroprobe","6699135","07-NOV-08","068178"," "," "," ","978-4310"
"Caliper Life Sciences","GX II","GXO849N0042","Gx Ii System","6699197","22-DEC-08","063026"," "," "," ","978-3219"
"Bio Rad","PTC0240","TA003198","Cycler-Thermal","6699210","05-JAN-09","001842"," "," "," ","978-4440"
"Percival Scientific","AR100L3","121190108L","Chamber-Growth","6699265","07-JAN-09","020092"," "," "," ","978-4425"
"Agilent Technologies","G1315C","DE63056765","Detector","6699326","03-FEB-09","010961"," "," "," ","978-4308"
"Bio Rad","PDS1060","901BR02316","Hepta System","6699340","11-FEB-09","020092"," "," "," ","978-4446"
"Percival Scientific","AR100L3","12120109A","Chamber-Growth","6699357","07-JAN-09","020092"," "," "," ","978-4415"
"Percival Scientific","AR100L3","12120209A","Chamber-Growth","6699364","07-JAN-09","020092"," "," "," ","978-4425"
"Bruker","HTSXT","2009329","Reader-Plate","6699371","17-FEB-09","009742"," "," "," ","978-4208"
"Qimaging","1394","Q23674","Camera","6699395","20-FEB-09","020092"," "," "," ","978-4414"
"Agilent Technologies","G13150","DE64258142","Detector","6699418","09-MAR-09","068178"," "," "," ","978-4208"
"Agilent Technologies","G1367B","DE64557074","Autosampler","6699425","09-MAR-09","068178"," "," "," ","978-4208"
"Olympus","1X71S1F3","9B10623","Microscope","6699500","14-MAY-09","068178"," "," "," ","978-4532"
"Bruker","VERTEX70","665","Spectrometer","6699517","26-MAY-09","068178"," "," "," ","978-4208"
"Leica","VT1000S","2687","Microtome - Vibrating","6699524","09-FEB-10","020092"," "," "," ","978-4440"
"Dell","DCCY","JHMOVK1","Computer-Desktop","6704945","09-SEP-09","022768","LSWORK","001","6890897","978-4310"
"Infors Ag","AJ185","89490809BH3","Shaker-Incubator","6708295","10-SEP-09","068178"," "," "," ","978-4310"
"Infors Ag","AJ185","89480809BH3","Shaker-Incubator","6708301","10-SEP-09","068178"," "," "," ","978-4310"
"Infors Ag","AJ150","89470809BX5","Shaker-Incubator","6708318","10-SEP-09","068178"," "," "," ","978-4310"
"Percival Scientific","CU41L4","128340309G","Chamber-Growth","6708325","11-AUG-09","020092"," "," "," ","978-4444"
"Percival Scientific","CU41L4","128340209G","Chamber-Growth","6708332","11-AUG-09","020092"," "," "," ","978-4425"
"Percival Scientific","CU41L4","128340109G","Chamber-Growth","6708349","11-AUG-09","020092"," "," "," ","978-4444"
"Teledyne","RF200","209G20054","Chromatograph","6708363","04-AUG-09","068178"," "," "," ","978-4310"
"Glas Col","107A","470532","Incubator-Shaker","6708370","22-JUL-09","068178"," "," "," ","978-4148"
"Berthold Tech","LB983","4050830","Camera-Ccd","6708417","03-NOV-09","018736"," "," "," ","978-4001"
"Binder","VD115UL","0910913","Vacuum-Dry","6708431","18-NOV-09","068178"," "," "," ","978-4410"
"Molecular Devices","SPECTRAMAXM2","D02815","Reader-Microplate","6708493","22-SEP-09","345201"," "," "," ","978-4148"
"Conviron","PRG15","080191","Chamber-Growth","6708509","14-OCT-09","018736"," "," "," ","978-4001"
"Conviron","PRG15","080192","Chamber-Growth","6708516","14-OCT-09","018736"," "," "," ","978-4001"
